"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dtype","framework","num_models","mode","ConvNet with Global Pooling Benchmark Time.combined.max","ConvNet with Global Pooling Benchmark Time.combined.mean","ConvNet with Global Pooling Benchmark Time.combined.median","ConvNet with Global Pooling Benchmark Time.combined.min","ConvNet with Global Pooling Benchmark Time.combined.std","ConvNet with Global Pooling Benchmark Time.fprop.max","ConvNet with Global Pooling Benchmark Time.fprop.mean","ConvNet with Global Pooling Benchmark Time.fprop.median","ConvNet with Global Pooling Benchmark Time.fprop.min","ConvNet with Global Pooling Benchmark Time.fprop.std","4-layer MLP Benchmark Time.bprop.max","4-layer MLP Benchmark Time.bprop.mean","4-layer MLP Benchmark Time.bprop.median","4-layer MLP Benchmark Time.bprop.min","4-layer MLP Benchmark Time.bprop.std","4-layer MLP Benchmark Time.combined.max","4-layer MLP Benchmark Time.combined.mean","4-layer MLP Benchmark Time.combined.median","4-layer MLP Benchmark Time.combined.min","4-layer MLP Benchmark Time.combined.std","4-layer MLP Benchmark Time.fprop.max","4-layer MLP Benchmark Time.fprop.mean","4-layer MLP Benchmark Time.fprop.median","4-layer MLP Benchmark Time.fprop.min","4-layer MLP Benchmark Time.fprop.std","Conv Layer Benchmark Time.combined.max","Conv Layer Benchmark Time.combined.mean","Conv Layer Benchmark Time.combined.median","Conv Layer Benchmark Time.combined.min","Conv Layer Benchmark Time.combined.std","Conv Layer Benchmark Time.fprop.max","Conv Layer Benchmark Time.fprop.mean","Conv Layer Benchmark Time.fprop.median","Conv Layer Benchmark Time.fprop.min","Conv Layer Benchmark Time.fprop.std","ConvNet with Global Pooling Benchmark Time.bprop.max","ConvNet with Global Pooling Benchmark Time.bprop.mean","ConvNet with Global Pooling Benchmark Time.bprop.median","ConvNet with Global Pooling Benchmark Time.bprop.min","ConvNet with Global Pooling Benchmark Time.bprop.std","MLP Benchmark Time.combined.max","MLP Benchmark Time.combined.mean","MLP Benchmark Time.combined.median","MLP Benchmark Time.combined.min","MLP Benchmark Time.combined.std","MLP Benchmark Time.fprop.max","MLP Benchmark Time.fprop.mean","MLP Benchmark Time.fprop.median","MLP Benchmark Time.fprop.min","MLP Benchmark Time.fprop.std","error"
"pytorch-benchmark-B50-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T19:55:31.000Z","8","","1","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:55:13.000Z","7","","1","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N500-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T19:53:02.000Z","120","","500","jax.numpy.bfloat16","jax","10","","0.12479901313781738","0.08283100843429565","0.12164998054504396","0.0013194084167480469","0.056245524110651736","0.12479901313781738","0.08283100843429565","0.12164998054504396","0.0013194084167480469","0.056245524110651736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N500-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:52:44.000Z","7","","500","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N500-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T19:52:25.000Z","8","","500","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N500-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:52:07.000Z","8","","500","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T19:51:20.000Z","36","","100","jax.numpy.bfloat16","jax","10","","0.025511980056762695","0.015578954219818116","0.022464275360107425","0.001325845718383789","0.010261561133165975","0.025511980056762695","0.015578954219818116","0.022464275360107425","0.001325845718383789","0.010261561133165975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:51:01.000Z","8","","100","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T19:50:43.000Z","8","","100","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:50:24.000Z","8","","100","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T19:49:47.000Z","27","","50","jax.numpy.bfloat16","jax","10","","0.011458635330200195","0.007228870391845704","0.010550498962402344","0.0011363029479980469","0.004537008947715936","0.011458635330200195","0.007228870391845704","0.010550498962402344","0.0011363029479980469","0.004537008947715936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:49:30.000Z","7","","50","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T19:49:13.000Z","7","","50","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N50-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:48:53.000Z","8","","50","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T19:48:25.000Z","17","","10","jax.numpy.bfloat16","jax","10","","0.0018236637115478516","0.0012169098854064942","0.0012052059173583984","0.0009963512420654297","0.00010044411524472738","0.0018236637115478516","0.0012169098854064942","0.0012052059173583984","0.0009963512420654297","0.00010044411524472738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T19:48:06.000Z","8","","10","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B10-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T19:47:47.000Z","8","","10","jax.numpy.bfloat16","jax","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
